run_id,market,rate,period,count,amount,side,fetched_at
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,3.11e-08,120,1,-0.39477387,demand,2026-08-26T00:47:02.458221+00:00
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,2.2e-08,59,1,-0.015,demand,2026-08-26T00:47:02.458221+00:00
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,1.2e-08,59,1,-0.015,demand,2026-08-26T00:47:02.458221+00:00
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,1.11e-08,120,1,-0.4,demand,2026-08-26T00:47:02.458221+00:00
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,1.1e-08,120,1,-0.1826823,demand,2026-08-26T00:47:02.458221+00:00
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,1e-08,10,1,-0.2,demand,2026-08-26T00:47:02.458221+00:00
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,2.48e-08,2,1,0.14794388,offer,2026-08-26T00:47:02.458221+00:00
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,2.49e-08,2,1,0.04177183,offer,2026-08-26T00:47:02.458221+00:00
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,2.5e-08,2,2,69.25025293,offer,2026-08-26T00:47:02.458221+00:00
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,2.6803224e-08,2,1,20.4060508,offer,2026-08-26T00:47:02.458221+00:00
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,2.728362e-08,2,41,0.19396572,offer,2026-08-26T00:47:02.458221+00:00
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,2.7397260273972602e-08,30,107,428.58609339,offer,2026-08-26T00:47:02.458221+00:00
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,2.7397260273972602e-08,60,8,6.15125724,offer,2026-08-26T00:47:02.458221+00:00
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,2.7397260273972602e-08,12,2,1.85580208,offer,2026-08-26T00:47:02.458221+00:00
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,2.7397260273972602e-08,2,201,218.15612533,offer,2026-08-26T00:47:02.458221+00:00
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,2.7397260273972602e-08,7,10,7.37955224,offer,2026-08-26T00:47:02.458221+00:00
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,2.7397260273972602e-08,10,8,1.78637215,offer,2026-08-26T00:47:02.458221+00:00
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,2.7397260273972602e-08,120,58,213.38141922,offer,2026-08-26T00:47:02.458221+00:00
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,2.7397260273972602e-08,4,4,0.36477312,offer,2026-08-26T00:47:02.458221+00:00
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,2.7397260273972602e-08,14,6,14.01893143,offer,2026-08-26T00:47:02.458221+00:00
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,2.7397260273972602e-08,20,5,5.95732358,offer,2026-08-26T00:47:02.458221+00:00
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,2.7397260273972602e-08,15,9,3.38323497,offer,2026-08-26T00:47:02.458221+00:00
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,2.7397260273972602e-08,5,10,0.18690862,offer,2026-08-26T00:47:02.458221+00:00
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,2.7397260273972602e-08,6,1,0.13857429,offer,2026-08-26T00:47:02.458221+00:00
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,2.7397260273972602e-08,3,4,1.21015348,offer,2026-08-26T00:47:02.458221+00:00
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,2.7397260273972602e-08,21,2,0.29881947,offer,2026-08-26T00:47:02.458221+00:00
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,2.7397260273972602e-08,38,1,0.00451216,offer,2026-08-26T00:47:02.458221+00:00
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,2.8e-08,2,1,100.0,offer,2026-08-26T00:47:02.458221+00:00
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,2.85e-08,2,8,3.97032176,offer,2026-08-26T00:47:02.458221+00:00
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,2.86e-08,2,7,3.6190571,offer,2026-08-26T00:47:02.458221+00:00
53049128-2a9d-4cc3-93f7-12d96abd1f10,fBTC,2.87e-08,2,13,7.09169,offer,2026-08-26T00:47:02.458221+00:00
976de6d4-f3a5-4225-931d-0780c67ebe76,fBTC,3.11e-08,120,1,-0.39477387,demand,2026-08-26T01:47:02.758494+00:00
976de6d4-f3a5-4225-931d-0780c67ebe76,fBTC,2.2e-08,59,1,-0.015,demand,2026-08-26T01:47:02.758494+00:00
976de6d4-f3a5-4225-931d-0780c67ebe76,fBTC,1.2e-08,59,1,-0.015,demand,2026-08-26T01:47:02.758494+00:00
976de6d4-f3a5-4225-931d-0780c67ebe76,fBTC,1.11e-08,120,1,-0.4,demand,2026-08-26T01:47:02.758494+00:00
976de6d4-f3a5-4225-931d-0780c67ebe76,fBTC,1.1e-08,120,1,-0.1826823,demand,2026-08-26T01:47:02.758494+00:00
